iter	RMSE
0	23.39536446
1	22.50281024
2	21.69203081
3	20.9525366
4	20.29011441
5	19.67435265
6	19.12130963
7	18.61407529
8	18.16634941
9	17.75407186
10	17.38152634
11	17.04013024
12	16.74101861
13	16.46640297
14	16.22999832
15	16.01006353
16	15.80855477
17	15.62947263
18	15.47669436
19	15.3405301
20	15.21259779
21	15.0967461
22	14.99762552
23	14.9003313
24	14.82198974
25	14.74545356
26	14.67818725
27	14.61731202
28	14.5638087
29	14.51695001
30	14.47260673
31	14.43068955
32	14.3932321
33	14.36241471
34	14.33473558
35	14.3099642
36	14.28654725
37	14.26218737
38	14.24109553
39	14.22025941
40	14.2005673
41	14.18512651
42	14.16898537
43	14.15443503
44	14.14090544
45	14.12846292
46	14.11257491
47	14.10164682
48	14.09006192
49	14.08283157
50	14.07642697
51	14.06895109
52	14.06287711
53	14.05573493
54	14.04868633
55	14.0396139
56	14.03269731
57	14.02700903
58	14.01903556
59	14.01264295
60	14.00683413
61	13.99923013
62	13.99295679
63	13.9876155
64	13.98279943
65	13.97629925
66	13.9712451
67	13.96323674
68	13.95813047
69	13.95332009
70	13.95063637
71	13.94688692
72	13.94450294
73	13.94052286
74	13.93780949
75	13.93487554
76	13.9305032
77	13.92712149
78	13.92108711
79	13.91629792
80	13.91286199
81	13.90962967
82	13.90804801
83	13.90315328
84	13.89770922
85	13.8949981
86	13.88993893
87	13.88166254
88	13.87753263
89	13.87210864
90	13.86590629
91	13.86220443
92	13.85483228
93	13.84867972
94	13.84704831
95	13.84485609
96	13.8372282
97	13.83269925
98	13.82879873
99	13.82151305
100	13.81687105
101	13.81349596
102	13.810991
103	13.80333095
104	13.79779591
105	13.7916998
106	13.78648641
107	13.78315986
108	13.78122438
109	13.77499308
110	13.77192178
111	13.76468356
112	13.76236908
113	13.7552523
114	13.75299498
115	13.74680901
116	13.73879873
117	13.73280909
118	13.72902386
119	13.72448132
120	13.72079063
121	13.71823255
122	13.71338883
123	13.70902021
124	13.70612376
125	13.70473838
126	13.69945352
127	13.69533035
128	13.69021988
129	13.68689652
130	13.68537531
131	13.68316795
132	13.6812242
133	13.67377704
134	13.66840812
135	13.6657328
136	13.66426206
137	13.66108025
138	13.65640808
139	13.65206873
140	13.64673569
141	13.64502291
142	13.64224304
143	13.63437915
144	13.62770861
145	13.62281522
146	13.6199448
147	13.61870061
148	13.61019534
149	13.60393837
150	13.59773921
151	13.59143225
152	13.58551692
153	13.58136668
154	13.57630812
155	13.57519118
156	13.56982415
157	13.56388392
158	13.55952547
159	13.55643577
160	13.55317765
161	13.54759115
162	13.54311676
163	13.53567818
164	13.53216553
165	13.52690438
166	13.52111481
167	13.51451425
168	13.51053366
169	13.50539022
170	13.50220287
171	13.49995584
172	13.49402105
173	13.49172846
174	13.48740795
175	13.48244599
176	13.47586833
177	13.46943879
178	13.46719283
179	13.45839321
180	13.45274544
181	13.44542046
182	13.44054667
183	13.43770703
184	13.43193753
185	13.42410165
186	13.41864073
187	13.41117934
188	13.40843973
189	13.40378293
190	13.40016806
191	13.39886778
192	13.39506127
193	13.39001131
194	13.38273596
195	13.37561801
196	13.36860051
197	13.36456754
198	13.35985403
199	13.35375605
