iter	Passed	Remaining
0	6	1203
1	10	995
2	19	1265
3	25	1233
4	31	1240
5	42	1361
6	48	1336
7	54	1306
8	63	1341
9	72	1373
10	78	1346
11	86	1355
12	92	1333
13	102	1356
14	110	1364
15	119	1379
16	130	1401
17	139	1411
18	146	1393
19	154	1391
20	161	1373
21	169	1370
22	175	1349
23	184	1353
24	190	1333
25	199	1338
26	206	1323
27	216	1327
28	222	1309
29	230	1306
30	236	1291
31	246	1293
32	255	1295
33	264	1293
34	272	1284
35	281	1282
36	288	1273
37	297	1270
38	304	1255
39	312	1250
40	318	1236
41	325	1225
42	335	1224
43	342	1215
44	350	1208
45	357	1197
46	364	1188
47	370	1174
48	380	1171
49	385	1157
50	394	1153
51	400	1140
52	408	1133
53	415	1122
54	423	1116
55	430	1106
56	436	1096
57	445	1090
58	454	1085
59	462	1078
60	468	1067
61	477	1062
62	484	1052
63	493	1047
64	501	1042
65	510	1036
66	516	1025
67	525	1019
68	531	1009
69	538	1000
70	545	990
71	551	980
72	559	974
73	565	963
74	575	958
75	581	948
76	589	941
77	595	930
78	603	923
79	609	914
80	618	908
81	625	899
82	632	892
83	638	882
84	645	873
85	653	866
86	662	860
87	671	854
88	677	845
89	685	837
90	692	829
91	699	820
92	708	815
93	715	806
94	722	798
95	728	789
96	735	780
97	741	771
98	747	763
99	757	757
100	763	748
101	772	742
102	778	733
103	787	726
104	793	717
105	803	712
106	812	706
107	820	698
108	826	690
109	832	681
110	839	672
111	848	666
112	854	657
113	861	649
114	870	643
115	876	634
116	884	627
117	893	621
118	901	613
119	907	605
120	917	598
121	923	590
122	930	582
123	938	574
124	945	567
125	952	559
126	958	550
127	968	544
128	974	536
129	983	529
130	989	521
131	998	514
132	1005	506
133	1013	499
134	1019	491
135	1028	484
136	1034	475
137	1040	467
138	1048	460
139	1054	451
140	1062	444
141	1068	436
142	1077	429
143	1086	422
144	1094	415
145	1101	407
146	1108	399
147	1114	391
148	1122	384
149	1130	376
150	1136	368
151	1145	361
152	1152	354
153	1161	346
154	1167	339
155	1176	331
156	1182	323
157	1189	316
158	1198	309
159	1206	301
160	1214	294
161	1220	286
162	1226	278
163	1232	270
164	1240	263
165	1246	255
166	1253	247
167	1261	240
168	1268	232
169	1276	225
170	1282	217
171	1292	210
172	1300	202
173	1308	195
174	1314	187
175	1320	180
176	1326	172
177	1333	164
178	1341	157
179	1348	149
180	1356	142
181	1363	134
182	1372	127
183	1378	119
184	1385	112
185	1393	104
186	1400	97
187	1409	89
188	1415	82
189	1423	74
190	1429	67
191	1438	59
192	1444	52
193	1452	44
194	1459	37
195	1466	29
196	1473	22
197	1479	14
198	1488	7
199	1494	0
